CASE# 1:
2515 not found
2530 not found
8453 not found
5830 not found
6193 found at 466
268 not found
648 not found
777 not found
7628 not found
3265 not found
500 not found
9198 not found
1082 not found
656 not found
9849 not found
4491 found at 328
8794 not found
7419 not found
1019 not found
9003 not found
847 not found
8729 not found
9009 not found
3536 not found
5496 not found
6718 not found
9674 not found
7260 not found
6807 not found
8906 not found
7493 not found
8498 not found
4474 not found
6285 not found
7117 not found
3857 not found
2517 not found
336 not found
6525 not found
2700 not found
214 not found
7044 not found
2158 not found
2801 not found
5519 not found
4978 not found
9383 not found
5066 not found
8239 found at 643
1838 not found
8720 not found
2076 not found
9323 not found
7842 not found
5476 not found
7650 not found
8604 not found
5248 not found
9495 found at 741
3807 found at 282
7372 not found
1342 not found
2820 not found
8537 not found
8512 not found
6163 found at 462
6867 not found
6109 not found
1692 not found
909 found at 76
6046 not found
6167 not found
9462 not found
6422 not found
4964 not found
1082 not found
2107 not found
571 not found
5875 not found
7113 not found
7926 not found
2578 not found
2781 not found
1988 not found
4763 not found
1018 not found
3668 not found
7884 not found
4103 not found
7369 not found
3059 not found
6544 not found
9887 not found
9536 not found
8287 not found
1563 not found
5475 found at 407
2509 not found
8599 not found
2997 not found
106 not found
1656 not found
3595 not found
41 not found
519 not found
3988 not found
2757 not found
5297 not found
1923 not found
7632 not found
3241 not found
570 not found
2862 not found
6127 not found
7708 not found
720 not found
5104 not found
5342 not found
7618 not found
3280 not found
4888 not found
5570 not found
3791 not found
38 found at 3
3 not found
1654 not found
9194 not found
7133 not found
8160 not found
7638 not found
6371 not found
4404 not found
4023 not found
9648 not found
328 not found
9444 not found
9294 not found
7786 not found
1335 not found
7188 not found
2363 not found
7966 found at 617
6458 not found
CASE# 2:
2122 not found
9886 not found
7509 not found
9252 not found
2979 found at 270
4342 not found
3529 not found
5255 not found
4915 found at 456
6848 not found
3243 not found
1638 not found
3551 not found
7342 not found
3719 not found
8691 not found
6185 not found
1884 not found
4231 not found
1208 found at 94
1840 not found
4740 not found
182 not found
6886 not found
2520 not found
3412 not found
7295 not found
5093 not found
7686 not found
6156 not found
4133 not found
7934 not found
3887 not found
3852 not found
8915 not found
3680 not found
2412 found at 213
1972 not found
9683 not found
8475 not found
3215 not found
3133 not found
8301 not found
3906 not found
7049 not found
2450 not found
2389 not found
1004 not found
7285 not found
856 not found
281 not found
1199 found at 93
9660 not found
7480 not found
8374 not found
6083 not found
6412 not found
9499 not found
8747 not found
2508 not found
4507 not found
5559 not found
5442 not found
4143 not found
711 not found
8338 not found
4810 not found
438 found at 25
1230 not found
4724 not found
2103 found at 189
4608 not found
6152 not found
4951 not found
7740 not found
7973 not found
6457 not found
2181 not found
345 not found
5594 not found
2305 not found
7013 not found
6042 not found
8006 not found
7529 not found
435 not found
4072 not found
7736 not found
7447 not found
1495 not found
1538 not found
2118 not found
7174 found at 684
1335 found at 106
5960 not found
5892 not found
6719 not found
628 not found
8615 not found
7212 not found
5647 not found
1244 not found
9720 not found
4427 not found
3821 not found
7696 not found
6695 not found
5326 found at 497
9257 not found
8542 not found
2829 not found
3669 not found
2964 not found
1224 not found
1389 found at 112
293 not found
6591 not found
4062 not found
6852 found at 648
6463 not found
562 not found
1858 not found
3028 not found
2209 not found
5047 not found
3659 not found
9465 not found
9363 not found
4105 not found
3332 not found
7982 not found
6966 not found
7180 not found
2683 not found
7889 not found
2686 not found
2997 not found
3642 not found
9797 found at 920
7167 found at 683
5328 not found
6324 not found
8624 not found
3306 not found
5752 not found
802 not found
9534 not found
9024 not found
9878 not found
6030 not found
1485 not found
9533 found at 891
5961 not found
5595 not found
5742 not found
8436 found at 795
7756 not found
5664 not found
8828 not found
9574 not found
9534 not found
3265 not found
872 not found
6925 not found
419 not found
8959 found at 838
3828 not found
361 not found
3966 not found
8229 not found
6595 found at 621
6772 not found
9484 not found
1798 not found
5779 not found
2367 not found
3016 not found
9449 not found
4298 not found
2462 not found
1217 not found
7283 not found
5622 not found
1685 not found
4486 not found
5383 not found
6210 not found
8687 not found
2194 not found
4359 not found
2793 not found
3 not found
3300 not found
8299 not found
5858 not found
211 not found
90 not found
9723 not found
9931 not found
2414 not found
983 not found
3584 found at 331
4712 found at 437
6678 not found
191 not found
8067 not found
6068 not found
7480 not found
2596 not found
569 not found
5404 not found
2786 not found
4787 not found
113 not found
5167 not found
6285 not found
8690 not found
9158 found at 859
1383 not found
2840 not found
7013 not found
9474 not found
5038 not found
9509 not found
5730 not found
4182 not found
2319 not found
4373 not found
1933 not found
370 not found
6116 not found
1765 not found
6869 not found
6263 not found
2143 not found
9747 not found
4630 not found
731 not found
619 not found
5425 not found
4488 not found
4051 not found
8847 not found
6955 not found
4506 not found
7593 not found
6270 not found
1150 not found
2118 not found
1247 not found
5790 not found
2167 not found
7329 not found
3139 not found
5246 not found
2355 not found
7811 not found
4638 not found
2931 not found
1283 not found
9992 not found
5037 not found
1294 not found
8059 not found
7144 not found
7196 not found
1810 not found
9912 not found
821 not found
4039 not found
5757 not found
1344 not found
5881 not found
2702 not found
3807 not found
3973 not found
3723 not found
6989 not found
2391 found at 211
5847 not found
1125 not found
7715 not found
5198 not found
8980 not found
1769 not found
1628 not found
8240 not found
5259 not found
291 not found
6560 not found
2715 not found
3667 found at 337
1268 found at 99
259 not found
4758 found at 442
7280 not found
8778 not found
9657 not found
7473 not found
2143 not found
7092 not found
3782 not found
9933 not found
9088 not found
6243 found at 597
5678 not found
811 not found
1451 not found
6937 not found
7834 not found
4330 found at 409
5177 not found
3513 found at 324
5286 not found
3995 not found
2918 not found
251 not found
9818 not found
5083 not found
9720 not found
5408 found at 510
7804 not found
3267 not found
2251 not found
7934 not found
7801 not found
8910 not found
4962 not found
3876 not found
8457 found at 798
710 found at 47
3727 not found
5056 not found
4270 not found
4481 not found
9164 not found
3675 not found
4754 not found
3030 not found
1690 not found
6548 not found
4706 not found
126 not found
4652 not found
7601 not found
5424 not found
2637 not found
2979 found at 270
8674 not found
7072 not found
5114 not found
8098 not found
7877 not found
2344 not found
246 not found
3686 not found
3857 found at 357
285 not found
5999 not found
4719 not found
5705 not found
4652 not found
2775 not found
779 not found
7116 not found
6551 found at 619
2229 not found
3004 not found
2948 found at 266
361 not found
2831 not found
8366 not found
8635 not found
2929 found at 262
3759 not found
3938 not found
9365 not found
992 not found
7343 not found
4260 not found
8807 not found
6465 not found
7569 not found
1129 not found
7170 not found
1656 not found
1067 not found
4017 not found
610 not found
6963 not found
1679 not found
8529 not found
5569 not found
5600 not found
2119 not found
6279 not found
5083 not found
4058 found at 379
7410 not found
2998 found at 273
7040 not found
4666 not found
4199 found at 399
8587 not found
8647 not found
2676 not found
8409 not found
1787 not found
4423 found at 416
4772 not found
4897 not found
1139 found at 85
9162 not found
8128 not found
8285 not found
4138 found at 386
3376 not found
3932 not found
7943 not found
392 not found
505 not found
1813 not found
4809 not found
8987 not found
9623 not found
9413 not found
5069 not found
7603 not found
4030 found at 375
6862 not found
192 not found
7250 not found
9189 not found
9843 not found
6750 not found
4328 not found
3929 not found
9923 not found
4241 not found
5880 not found
4338 not found
5615 not found
8859 not found
1510 not found
5519 not found
2751 not found
9400 not found
5806 not found
8733 not found
3416 not found
1492 not found
9269 not found
1273 not found
9704 not found
2882 not found
8688 found at 814
2067 not found
4117 not found
3814 not found
6398 not found
7487 not found
9284 not found
88 not found
8737 not found
8278 not found
4633 not found
9253 not found
913 not found
6242 found at 596
7039 not found
8847 not found
2749 not found
629 not found
6679 not found
4683 not found
4330 found at 409
2125 not found
9983 not found
3967 not found
5377 not found
2401 not found
5667 not found
1925 not found
5326 found at 497
6479 not found
6922 not found
8638 not found
7040 not found
8632 not found
3679 not found
7743 not found
603 not found
2784 not found
1198 not found
6985 not found
2534 found at 226
1942 not found
1914 not found
8109 not found
3536 not found
4647 not found
8450 not found
6709 not found
2589 not found
7220 not found
1857 found at 161
2713 found at 247
8953 found at 836
6545 not found
5489 found at 527
6957 found at 656
8 not found
3171 not found
1195 not found
5645 not found
4827 not found
7261 not found
1373 not found
901 not found
3034 not found
8405 not found
4410 not found
5712 not found
719 not found
9628 not found
5645 not found
4148 found at 388
8710 not found
7295 not found
2084 not found
8057 not found
3462 not found
166 not found
354 not found
2785 not found
4373 not found
1949 not found
9254 not found
6760 found at 635
4351 not found
2833 not found
2976 not found
8957 not found
6936 not found
8006 not found
5432 not found
6162 not found
5534 not found
1024 not found
4816 found at 447
1448 not found
1552 not found
9515 not found
7043 not found
8569 not found
3458 not found
4196 not found
3578 not found
9175 not found
6351 not found
9047 found at 846
6655 not found
2449 not found
1089 found at 79
7294 not found
6381 not found
8310 not found
4145 not found
1179 found at 91
